;id;price;area;rooms
0;1;2706;82;2
1;2;6708;258;6
2;3;1850;74;2
3;4;4080;136;4
4;5;3500;125;5
5;6;4680;156;4
6;7;5508;204;6
7;8;1156;34;1
8;9;1250;50;2
9;10;5040;180;6
10;11;2600;104;4
11;12;2108;62;2
12;13;6138;186;6
13;14;4224;132;4
14;15;6144;192;6
15;16;4650;155;5
16;17;3564;132;3
17;18;7020;234;6
18;19;2970;99;3
19;20;6120;204;6
20;21;725;29;1
21;22;4864;152;4
22;23;6699;203;7
23;24;8232;294;7
24;25;7308;252;7
25;26;3640;130;5
26;27;1287;39;1
27;28;1218;42;1
28;29;1860;60;2
29;30;1344;42;1
30;31;6120;204;6
31;32;6916;266;7
32;33;4320;135;5
33;34;3780;140;5
34;35;2128;76;2
35;36;2772;84;3
36;37;5848;172;4
37;38;3024;108;3
38;39;3712;128;4
39;40;5832;216;6
40;41;1984;62;2
41;42;4320;144;4
42;43;1566;58;2
43;44;2432;76;2
44;45;6600;200;5
45;46;6600;200;5
46;47;5280;165;5
47;48;832;26;1
48;49;6930;210;5
49;50;1260;42;1
50;51;1890;70;2
51;52;3240;120;3
52;53;2496;96;3
53;54;6664;196;7
54;55;2214;82;2
55;56;6510;210;7
56;57;7224;258;6
57;58;4158;126;3
58;59;6006;231;7
59;60;2880;96;3
60;61;4992;192;6
61;62;3100;124;4
62;63;6384;228;6
63;64;1960;70;2
64;65;3016;104;4
65;66;3944;136;4
66;67;7134;246;6
67;68;4725;175;5
68;69;3534;114;3
69;70;6510;210;5
70;71;5220;180;5
71;72;4550;182;7
72;73;5772;222;6
73;74;5945;205;5
74;75;7812;252;7
75;76;2640;88;2
76;77;1075;43;1
77;78;3100;100;4
78;79;7998;258;6
79;80;2048;64;2
80;81;4428;164;4
81;82;2349;87;3
82;83;6930;210;7
83;84;2175;87;3
84;85;6930;210;6
85;86;3960;132;3
86;87;4900;175;7
87;88;3999;129;3
88;89;1736;62;2
89;90;1458;54;2
90;91;2464;88;2
91;92;1326;39;1
92;93;6510;210;7
93;94;2325;93;3
94;95;2280;76;2
95;96;2356;76;2
96;97;4290;165;5
97;98;4914;182;7
98;99;5460;210;6
99;100;5950;175;5
100;101;6076;217;7
101;102;2560;80;2
102;103;3952;152;4
103;104;5670;210;6
104;105;2025;81;3
105;106;6150;205;5
106;107;5040;180;6
107;108;5535;205;5
108;109;702;27;1
109;110;4080;120;4
110;111;8547;259;7
111;112;5346;162;6
112;113;5642;217;7
113;114;6160;220;5
114;115;4200;140;5
115;116;5550;222;6
116;117;3267;99;3
117;118;5916;174;6
118;119;1612;52;2
119;120;1344;42;1
120;121;899;31;1
121;122;4160;130;5
122;123;4836;186;6
123;124;4400;176;4
124;125;4212;156;6
125;126;6665;215;5
126;127;1050;42;1
127;128;5115;165;5
128;129;5760;180;5
129;130;6076;217;7
130;131;5180;185;5
131;132;3750;125;5
132;133;9758;287;7
133;134;5208;186;6
134;135;980;35;1
135;136;3848;148;4
136;137;4884;148;4
137;138;3354;129;3
138;139;5684;203;7
139;140;5580;180;5
140;141;1624;58;2
141;142;5880;210;5
142;143;2028;78;3
143;144;2604;93;3
144;145;650;25;1
145;146;7056;252;6
146;147;9996;294;7
147;148;1950;78;2
148;149;4374;162;6
149;150;2542;82;2
150;151;4785;145;5
151;152;3968;128;4
152;153;6300;210;7
153;154;2574;78;3
154;155;1972;68;2
155;156;2688;96;3
156;157;1728;54;2
157;158;2808;108;3
158;159;675;25;1
159;160;2000;80;2
160;161;1232;44;1
161;162;5148;198;6
162;163;3250;125;5
163;164;1312;41;1
164;165;8400;280;7
165;166;1320;44;1
166;167;8624;308;7
167;168;7252;259;7
168;169;2496;96;3
169;170;2176;68;2
170;171;5332;172;4
171;172;756;27;1
172;173;5440;160;4
173;174;4092;132;3
174;175;1976;76;2
175;176;4928;176;4
176;177;5508;204;6
177;178;1550;62;2
178;179;1848;56;2
179;180;1560;60;2
180;181;864;27;1
181;182;4960;160;5
182;183;6720;240;6
183;184;6882;222;6
184;185;5952;192;6
185;186;957;29;1
186;187;6475;259;7
187;188;5365;185;5
188;189;930;31;1
189;190;5576;164;4
190;191;3360;112;4
191;192;3402;126;3
192;193;2775;111;3
193;194;8118;246;6
194;195;4182;123;3
195;196;3672;108;3
196;197;2325;75;3
197;198;5859;217;7
198;199;1353;41;1
199;200;1088;34;1
200;201;4480;140;4
201;202;4200;168;4
202;203;3996;148;4
203;204;6300;210;7
204;205;1290;43;1
205;206;3720;120;3
206;207;837;31;1
207;208;9331;301;7
208;209;960;30;1
209;210;5481;189;7
210;211;4760;140;4
211;212;4200;168;4
212;213;4320;160;4
213;214;5100;170;5
214;215;3192;114;3
215;216;1566;54;2
216;217;3960;132;4
217;218;840;30;1
218;219;6006;231;7
219;220;8323;287;7
220;221;1768;68;2
221;222;2640;88;2
222;223;2320;80;2
223;224;2380;70;2
224;225;870;30;1
225;226;5270;155;5
226;227;6664;238;7
227;228;3075;123;3
228;229;3330;111;3
229;230;3920;140;5
230;231;750;30;1
231;232;4050;150;6
232;233;2604;93;3
233;234;992;32;1
234;235;4620;140;5
235;236;2268;81;3
236;237;6600;200;5
237;238;4698;174;6
238;239;1736;62;2
239;240;4500;150;6
240;241;1890;70;2
241;242;2900;100;4
242;243;1400;56;2
243;244;1056;33;1
244;245;5952;186;6
245;246;5950;175;7
246;247;5740;205;5
247;248;1860;62;2
248;249;2046;66;2
249;250;4914;182;7
250;251;4884;148;4
251;252;6450;215;5
252;253;3078;114;3
253;254;4500;150;6
254;255;3480;116;4
255;256;6786;234;6
256;257;2997;111;3
257;258;840;30;1
258;259;7378;217;7
259;260;775;25;1
260;261;4785;145;5
261;262;2624;82;2
262;263;3132;108;3
263;264;8960;280;7
264;265;2625;105;3
265;266;4160;130;5
266;267;3330;111;3
267;268;1025;41;1
268;269;4836;156;6
269;270;675;27;1
270;271;5655;195;5
271;272;2912;104;4
272;273;4060;140;5
273;274;3700;148;4
274;275;4992;192;6
275;276;4590;135;5
276;277;4455;165;5
277;278;2418;93;3
278;279;825;33;1
279;280;1550;50;2
280;281;918;34;1
281;282;4536;168;6
282;283;2349;87;3
283;284;6144;192;6
284;285;4386;129;3
285;286;3480;120;4
286;287;6160;220;5
287;288;2112;64;2
288;289;4750;190;5
289;290;7714;266;7
290;291;1792;64;2
291;292;4750;190;5
292;293;6860;245;7
293;294;1300;50;2
294;295;2754;81;3
295;296;2640;88;2
296;297;5103;189;7
297;298;5376;168;6
298;299;3876;114;3
299;300;7350;294;7
300;301;3375;125;5
301;302;3500;140;5
302;303;3567;123;3
303;304;2460;82;2
304;305;2040;60;2
305;306;4725;175;7
306;307;6528;204;6
307;308;5916;174;6
308;309;4836;156;4
309;310;7260;220;5
310;311;2436;84;2
311;312;6650;266;7
312;313;1271;41;1
313;314;4884;148;4
314;315;1950;75;3
315;316;4356;132;3
316;317;875;35;1
317;318;650;26;1
318;319;952;34;1
319;320;8448;264;6
320;321;7310;215;5
321;322;4500;150;5
322;323;6930;210;7
323;324;6944;217;7
324;325;2236;86;2
325;326;783;29;1
326;327;891;33;1
327;328;4356;132;4
328;329;1980;60;2
329;330;1364;44;1
330;331;4200;140;5
331;332;1056;33;1
332;333;2520;84;3
333;334;8526;294;7
334;335;1075;43;1
335;336;5772;222;6
336;337;2800;100;4
337;338;6290;185;5
338;339;3900;156;6
339;340;2808;104;4
340;341;725;25;1
341;342;992;31;1
342;343;3500;140;5
343;344;1312;41;1
344;345;3564;132;4
345;346;2356;76;2
346;347;5115;155;5
347;348;3780;126;3
348;349;5580;180;5
349;350;2856;84;3
350;351;9856;308;7
351;352;1023;33;1
352;353;780;26;1
353;354;8316;252;6
354;355;5742;198;6
355;356;899;31;1
356;357;812;28;1
357;358;3150;126;3
358;359;4185;155;5
359;360;4756;164;4
360;361;2997;111;3
361;362;4128;129;3
362;363;5940;180;6
363;364;2380;70;2
364;365;6720;210;5
365;366;5994;222;6
366;367;6615;245;7
367;368;5425;217;7
368;369;4810;185;5
369;370;6825;273;7
370;371;3510;130;5
371;372;5610;170;5
372;373;702;27;1
373;374;4725;175;7
374;375;924;33;1
375;376;3250;125;5
376;377;3564;108;4
377;378;4340;140;5
378;379;1280;40;1
379;380;4224;128;4
380;381;2494;86;2
381;382;3348;108;3
382;383;6930;231;7
383;384;5544;168;6
384;385;6510;210;6
385;386;4144;148;4
386;387;4524;156;6
387;388;6630;195;5
388;389;4500;180;5
389;390;5346;162;6
390;391;945;35;1
391;392;2436;87;3
392;393;5412;164;4
393;394;2574;78;2
394;395;3999;129;3
395;396;5445;165;5
396;397;5824;224;7
397;398;4374;162;6
398;399;2976;93;3
399;400;4860;180;5
400;401;2046;66;2
401;402;6240;195;5
402;403;3472;124;4
403;404;8568;252;7
404;405;812;29;1
405;406;870;29;1
406;407;2240;70;2
407;408;1462;43;1
408;409;3875;155;5
409;410;4080;120;4
410;411;5568;174;6
411;412;2871;99;3
412;413;3400;100;4
413;414;3444;123;3
414;415;3248;112;4
415;416;7020;234;6
416;417;4182;123;3
417;418;1612;62;2
418;419;6600;264;6
419;420;5346;198;6
420;421;5576;164;4
421;422;7068;228;6
422;423;5456;176;4
423;424;2294;74;2
424;425;5952;186;6
425;426;6930;231;7
426;427;5832;216;6
